Filename,Predictions
1/021__1 Cent_australia.jpg,"1 Cent,Australian dollar,australia"
1/022__1 Cent_australia.jpg,"1 Cent,Australian dollar,australia"
1/027__1 Cent_australia.jpg,"1 Cent,Australian dollar,australia"
1/036__1 Cent_australia.jpg,"1 Cent,Australian dollar,australia"
10/005__5 Centavos_brazil.jpg,"5 Centavos,Brazilian Real,brazil"
10/014__5 Centavos_brazil.jpg,"5 Centavos,Brazilian Real,brazil"
10/020__5 Centavos_brazil.jpg,"5 Centavos,Brazilian Real,brazil"
10/022__5 Centavos_brazil.jpg,"5 Centavos,Brazilian Real,brazil"
100/017__5 Won_south_korea.jpg,"5 Won,Korean Won,south_korea"
100/019__5 Won_south_korea.jpg,"5 Won,Korean Won,south_korea"
100/027__5 Won_south_korea.jpg,"5 Won,Korean Won,south_korea"
100/033__5 Won_south_korea.jpg,"5 Won,Korean Won,south_korea"
101/016__10 Won_south_korea.jpg,"10 Won,Korean Won,south_korea"
101/019__10 Won_south_korea.jpg,"10 Won,Korean Won,south_korea"
101/026__10 Won_south_korea.jpg,"10 Won,Korean Won,south_korea"
101/035__10 Won_south_korea.jpg,"10 Won,Korean Won,south_korea"
102/005__50 Won_south_korea.jpg,"50 Won,Korean Won,south_korea"
102/007__50 Won_south_korea.jpg,"50 Won,Korean Won,south_korea"
102/008__50 Won_south_korea.jpg,"50 Won,Korean Won,south_korea"
102/010__50 Won_south_korea.jpg,"50 Won,Korean Won,south_korea"
103/006__100 Won_south_korea.jpg,"100 Won,Korean Won,south_korea"
103/009__100 Won_south_korea.jpg,"100 Won,Korean Won,south_korea"
103/023__100 Won_south_korea.jpg,"100 Won,Korean Won,south_korea"
103/034__100 Won_south_korea.jpg,"100 Won,Korean Won,south_korea"
104/001__500 Won_south_korea.jpg,"500 Won,Korean Won,south_korea"
104/002__500 Won_south_korea.jpg,"500 Won,Korean Won,south_korea"
104/019__500 Won_south_korea.jpg,"500 Won,Korean Won,south_korea"
104/026__500 Won_south_korea.jpg,"500 Won,Korean Won,south_korea"
105/007__1 Sen_malaysia.jpg,"1 Sen,Malaysian Ringgit,malaysia"
105/012__1 Sen_malaysia.jpg,"1 Grosz,Polish Zloty,poland"
105/024__1 Sen_malaysia.jpg,"1 Sen,Malaysian Ringgit,malaysia"
105/025__1 Sen_malaysia.jpg,"1 Rappen,Swiss Franc,switzerland"
106/001__5 Sen_malaysia.jpg,"5 Sen,Malaysian Ringgit,malaysia"
106/027__5 Sen_malaysia.jpg,"5 Sen,Malaysian Ringgit,malaysia"
106/030__5 Sen_malaysia.jpg,"5 Sen,Malaysian Ringgit,malaysia"
106/031__5 Sen_malaysia.jpg,"1 New Sheqel,Israeli New Shekel,israel"
107/013__10 Sen_malaysia.jpg,"10 Sen,Malaysian Ringgit,malaysia"
107/026__10 Sen_malaysia.jpg,"10 Sen,Malaysian Ringgit,malaysia"
107/033__10 Sen_malaysia.jpg,"10 Sen,Malaysian Ringgit,malaysia"
107/036__10 Sen_malaysia.jpg,"10 Sen,Malaysian Ringgit,malaysia"
108/002__20 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
108/008__20 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
108/027__20 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
108/029__20 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
109/015__50 Sen_malaysia.jpg,"50 Sen,Malaysian Ringgit,malaysia"
109/025__50 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
109/030__50 Sen_malaysia.jpg,"20 Sen,Malaysian Ringgit,malaysia"
109/033__50 Sen_malaysia.jpg,"50 Sen,Malaysian Ringgit,malaysia"
11/004__10 Centavos_brazil.jpg,"1 Centavo,Brazilian Real,brazil"
11/018__10 Centavos_brazil.jpg,"10 Sen,Malaysian Ringgit,malaysia"
11/019__10 Centavos_brazil.jpg,"10 Centavos,Brazilian Real,brazil"
11/024__10 Centavos_brazil.jpg,"10 Centavos,Brazilian Real,brazil"
110/009__5 Centavos_mexico.jpg,"5 Centavos,Mexican peso,mexico"
110/013__5 Centavos_mexico.jpg,"5 Centavos,Mexican peso,mexico"
110/028__5 Centavos_mexico.jpg,"5 Centavos,Mexican peso,mexico"
110/029__5 Centavos_mexico.jpg,"5 Centavos,Mexican peso,mexico"
111/011__10 Centavos_mexico.jpg,"10 Centavos,Mexican peso,mexico"
111/019__10 Centavos_mexico.jpg,"10 Centavos,Mexican peso,mexico"
111/034__10 Centavos_mexico.jpg,"10 Centavos,Mexican peso,mexico"
111/035__10 Centavos_mexico.jpg,"10 Centavos,Mexican peso,mexico"
112/004__20 Centavos_mexico.jpg,"20 Centavos,Mexican peso,mexico"
112/005__20 Centavos_mexico.jpg,"20 Centavos,Mexican peso,mexico"
112/010__20 Centavos_mexico.jpg,"20 Centavos,Mexican peso,mexico"
112/013__20 Centavos_mexico.jpg,"20 Centavos,Mexican peso,mexico"
113/009__50 Centavos_mexico.jpg,"50 Centavos,Mexican peso,mexico"
113/012__50 Centavos_mexico.jpg,"20 Centavos,Mexican peso,mexico"
113/024__50 Centavos_mexico.jpg,"50 Centavos,Mexican peso,mexico"
113/029__50 Centavos_mexico.jpg,"50 Centavos,Mexican peso,mexico"
114/013__1 Peso_mexico.jpg,"5 Cents,US Dollar,usa"
114/015__1 Peso_mexico.jpg,"1 Peso,Mexican peso,mexico"
114/024__1 Peso_mexico.jpg,"1 Peso,Mexican peso,mexico"
114/025__1 Peso_mexico.jpg,"5 Pesos,Mexican peso,mexico"
115/016__2 Pesos_mexico.jpg,"1 2 Franc,Swiss Franc,switzerland"
115/023__2 Pesos_mexico.jpg,"2 Pesos,Mexican peso,mexico"
115/031__2 Pesos_mexico.jpg,"2 Pesos,Mexican peso,mexico"
115/034__2 Pesos_mexico.jpg,"2 Pesos,Mexican peso,mexico"
116/008__5 Pesos_mexico.jpg,"5 Pesos,Mexican peso,mexico"
116/020__5 Pesos_mexico.jpg,"5 Pesos,Mexican peso,mexico"
116/021__5 Pesos_mexico.jpg,"5 Pesos,Mexican peso,mexico"
116/024__5 Pesos_mexico.jpg,"5 Pesos,Mexican peso,mexico"
117/008__10 Pesos_mexico.jpg,"2 Zlote,Polish Zloty,poland"
117/016__10 Pesos_mexico.jpg,"10 Pesos,Mexican peso,mexico"
117/029__10 Pesos_mexico.jpg,"10 Pesos,Mexican peso,mexico"
117/033__10 Pesos_mexico.jpg,"10 Pesos,Mexican peso,mexico"
118/010__5 Cents_new_zealand.jpg,"5 Cents,New Zealand dollar,new_zealand"
118/011__5 Cents_new_zealand.jpg,"10 Cents,New Zealand dollar,new_zealand"
118/023__5 Cents_new_zealand.jpg,"5 Cents,New Zealand dollar,new_zealand"
118/032__5 Cents_new_zealand.jpg,"5 Cents,New Zealand dollar,new_zealand"
119/018__10 Cents_new_zealand.jpg,"10 Cents,New Zealand dollar,new_zealand"
119/023__10 Cents_new_zealand.jpg,"10 Cents,New Zealand dollar,new_zealand"
119/026__10 Cents_new_zealand.jpg,"10 Cents,New Zealand dollar,new_zealand"
119/035__10 Cents_new_zealand.jpg,"10 Cents,New Zealand dollar,new_zealand"
12/005__25 Centavos_brazil.jpg,"25 Centavos,Brazilian Real,brazil"
12/007__25 Centavos_brazil.jpg,"25 Centavos,Brazilian Real,brazil"
12/026__25 Centavos_brazil.jpg,"25 Centavos,Brazilian Real,brazil"
12/035__25 Centavos_brazil.jpg,"25 Centavos,Brazilian Real,brazil"
120/011__20 Cents_new_zealand.jpg,"20 Cents,New Zealand dollar,new_zealand"
120/012__20 Cents_new_zealand.jpg,"20 Cents,New Zealand dollar,new_zealand"
120/022__20 Cents_new_zealand.jpg,"20 Cents,New Zealand dollar,new_zealand"
120/035__20 Cents_new_zealand.jpg,"20 Cents,New Zealand dollar,new_zealand"
121/003__50 Cents_new_zealand.jpg,"50 Cents,New Zealand dollar,new_zealand"
121/004__50 Cents_new_zealand.jpg,"50 Cents,New Zealand dollar,new_zealand"
121/024__50 Cents_new_zealand.jpg,"50 Cents,New Zealand dollar,new_zealand"
121/028__50 Cents_new_zealand.jpg,"50 Cents,New Zealand dollar,new_zealand"
122/006__1 Dollar_new_zealand.jpg,"1 Dollar,New Zealand dollar,new_zealand"
122/013__1 Dollar_new_zealand.jpg,"1 Dollar,New Zealand dollar,new_zealand"
122/025__1 Dollar_new_zealand.jpg,"1 Dollar,New Zealand dollar,new_zealand"
122/026__1 Dollar_new_zealand.jpg,"1 Dollar,New Zealand dollar,new_zealand"
123/001__2 Dollars_new_zealand.jpg,"5 Cents,New Zealand dollar,new_zealand"
123/009__2 Dollars_new_zealand.jpg,"2 Dollars,New Zealand dollar,new_zealand"
123/019__2 Dollars_new_zealand.jpg,"2 Dollars,New Zealand dollar,new_zealand"
123/023__2 Dollars_new_zealand.jpg,"2 Dollars,New Zealand dollar,new_zealand"
124/003__50 Ore_norway.jpg,"50 Ore,Norwegian Krone,norway"
124/006__50 Ore_norway.jpg,"50 Ore,Norwegian Krone,norway"
124/008__50 Ore_norway.jpg,"50 Ore,Norwegian Krone,norway"
124/026__50 Ore_norway.jpg,"50 Ore,Norwegian Krone,norway"
125/004__1 Krone_norway.jpg,"1 Krone,Norwegian Krone,norway"
125/006__1 Krone_norway.jpg,"1 Krone,Norwegian Krone,norway"
125/015__1 Krone_norway.jpg,"1 Krone,Norwegian Krone,norway"
125/029__1 Krone_norway.jpg,"1 Krone,Norwegian Krone,norway"
126/004__5 Kroner_norway.jpg,"50 Cents,Canadian Dollar,canada"
126/010__5 Kroner_norway.jpg,"1 Krone,Norwegian Krone,norway"
126/020__5 Kroner_norway.jpg,"1 Krone,Norwegian Krone,norway"
126/034__5 Kroner_norway.jpg,"5 Kroner,Norwegian Krone,norway"
127/006__10 Kroner_norway.jpg,"10 Kroner,Norwegian Krone,norway"
127/014__10 Kroner_norway.jpg,"10 Kroner,Norwegian Krone,norway"
127/029__10 Kroner_norway.jpg,"10 Kroner,Norwegian Krone,norway"
127/033__10 Kroner_norway.jpg,"10 Kroner,Norwegian Krone,norway"
128/003__20 Kroner_norway.jpg,"20 Kroner,Norwegian Krone,norway"
128/011__20 Kroner_norway.jpg,"20 Kroner,Norwegian Krone,norway"
128/029__20 Kroner_norway.jpg,"20 Kroner,Norwegian Krone,norway"
128/033__20 Kroner_norway.jpg,"20 Kroner,Norwegian Krone,norway"
129/011__1 Rupee_pakistan.jpg,"1 Rupee,Pakistan Rupee,pakistan"
129/014__1 Rupee_pakistan.jpg,"1 Rupee,Pakistan Rupee,pakistan"
129/020__1 Rupee_pakistan.jpg,"1 Rupee,Pakistan Rupee,pakistan"
129/029__1 Rupee_pakistan.jpg,"1 Rupee,Pakistan Rupee,pakistan"
13/003__1 Real_brazil.jpg,"1 Real,Brazilian Real,brazil"
13/007__1 Real_brazil.jpg,"1 Real,Brazilian Real,brazil"
13/010__1 Real_brazil.jpg,"1 Centavo,Brazilian Real,brazil"
13/027__1 Real_brazil.jpg,"1 Real,Brazilian Real,brazil"
130/009__2 Rupees_pakistan.jpg,"2 Rupees,Pakistan Rupee,pakistan"
130/012__2 Rupees_pakistan.jpg,"2 Rupees,Pakistan Rupee,pakistan"
130/017__2 Rupees_pakistan.jpg,"2 Rupees,Pakistan Rupee,pakistan"
130/022__2 Rupees_pakistan.jpg,"2 Rupees,Pakistan Rupee,pakistan"
131/016__5 Rupees_pakistan.jpg,"5 Rupees,Pakistan Rupee,pakistan"
131/021__5 Rupees_pakistan.jpg,"5 Rupees,Pakistan Rupee,pakistan"
131/025__5 Rupees_pakistan.jpg,"5 Rupees,Pakistan Rupee,pakistan"
131/032__5 Rupees_pakistan.jpg,"5 Rupees,Pakistan Rupee,pakistan"
132/016__10 Rupees_pakistan.jpg,"10 Rupees,Pakistan Rupee,pakistan"
132/027__10 Rupees_pakistan.jpg,"10 Rupees,Pakistan Rupee,pakistan"
132/029__10 Rupees_pakistan.jpg,"10 Rupees,Pakistan Rupee,pakistan"
132/031__10 Rupees_pakistan.jpg,"10 Rupees,Pakistan Rupee,pakistan"
133/003__1 Sentimo_philippines.jpg,"1 Sentimo,Philipine peso,philippines"
133/010__1 Sentimo_philippines.jpg,"1 Piso,Philipine peso,philippines"
133/011__1 Sentimo_philippines.jpg,"1 Sentimo,Philipine peso,philippines"
133/021__1 Sentimo_philippines.jpg,"1 Dollar,Hong Kong dollar,hong_kong"
134/001__5 Sentimos_philippines.jpg,"5 Sentimos,Philipine peso,philippines"
134/006__5 Sentimos_philippines.jpg,"5 Sentimos,Philipine peso,philippines"
134/028__5 Sentimos_philippines.jpg,"5 Sentimos,Philipine peso,philippines"
134/029__5 Sentimos_philippines.jpg,"5 Sentimos,Philipine peso,philippines"
135/021__10 Sentimos_philippines.jpg,"10 Sentimos,Philipine peso,philippines"
135/022__10 Sentimos_philippines.jpg,"10 Sentimos,Philipine peso,philippines"
135/023__10 Sentimos_philippines.jpg,"10 Sentimos,Philipine peso,philippines"
135/030__10 Sentimos_philippines.jpg,"10 Sentimos,Philipine peso,philippines"
136/003__25 Sentimos_philippines.jpg,"25 Sentimos,Philipine peso,philippines"
136/010__25 Sentimos_philippines.jpg,"25 Sentimos,Philipine peso,philippines"
136/014__25 Sentimos_philippines.jpg,"25 Sentimos,Philipine peso,philippines"
136/016__25 Sentimos_philippines.jpg,"25 Sentimos,Philipine peso,philippines"
137/001__1 Piso_philippines.jpg,"1 Piso,Philipine peso,philippines"
137/004__1 Piso_philippines.jpg,"1 Piso,Philipine peso,philippines"
137/023__1 Piso_philippines.jpg,"1 Piso,Philipine peso,philippines"
137/024__1 Piso_philippines.jpg,"1 Piso,Philipine peso,philippines"
138/007__5 Piso_philippines.jpg,"5 Piso,Philipine peso,philippines"
138/011__5 Piso_philippines.jpg,"5 Piso,Philipine peso,philippines"
138/012__5 Piso_philippines.jpg,"5 Piso,Philipine peso,philippines"
138/026__5 Piso_philippines.jpg,"5 Piso,Philipine peso,philippines"
139/001__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
139/002__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
139/018__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
139/020__10 Piso_philippines.jpg,"10 Piso,Philipine peso,philippines"
14/002__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/023__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/024__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
14/033__1 Penny_united_kingdom.jpg,"1 Penny,British Pound,united_kingdom"
140/005__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
140/011__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
140/015__1 Grosz_poland.jpg,"2 Grosze,Polish Zloty,poland"
140/026__1 Grosz_poland.jpg,"1 Grosz,Polish Zloty,poland"
141/004__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/015__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/020__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
141/021__2 Grosze_poland.jpg,"2 Grosze,Polish Zloty,poland"
142/001__5 Groszy_poland.jpg,"1 Grosz,Polish Zloty,poland"
142/008__5 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
142/014__5 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
142/027__5 Groszy_poland.jpg,"2 Grosze,Polish Zloty,poland"
143/001__10 Groszy_poland.jpg,"10 Kurus,Turkish Lira,turkey"
143/006__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
143/011__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
143/012__10 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
144/001__20 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
144/014__20 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
144/019__20 Groszy_poland.jpg,"20 Groszy,Polish Zloty,poland"
144/027__20 Groszy_poland.jpg,"10 Groszy,Polish Zloty,poland"
145/003__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
145/006__50 Groszy_poland.jpg,"5 Groszy,Polish Zloty,poland"
145/007__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
145/034__50 Groszy_poland.jpg,"50 Groszy,Polish Zloty,poland"
146/008__1 Zloty_poland.jpg,"1 Zloty,Polish Zloty,poland"
146/027__1 Zloty_poland.jpg,"1 Zloty,Polish Zloty,poland"
146/033__1 Zloty_poland.jpg,"2 Zlote,Polish Zloty,poland"
146/035__1 Zloty_poland.jpg,"50 Groszy,Polish Zloty,poland"
147/015__2 Zlote_poland.jpg,"1 Grosz,Polish Zloty,poland"
147/018__2 Zlote_poland.jpg,"2 Zlote,Polish Zloty,poland"
147/025__2 Zlote_poland.jpg,"20 Groszy,Polish Zloty,poland"
147/032__2 Zlote_poland.jpg,"2 Zlote,Polish Zloty,poland"
148/001__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/031__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/034__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
148/036__5 Zlotych_poland.jpg,"5 Zlotych,Polish Zloty,poland"
149/004__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/018__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/019__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
149/036__1 Kopek_russia.jpg,"1 Kopek,Russian Ruble,russia"
15/012__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/013__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/014__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
15/018__2 Pence_united_kingdom.jpg,"2 Pence,British Pound,united_kingdom"
150/003__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
150/009__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
150/030__5 Kopeks_russia.jpg,"5 Kopeks,Russian Ruble,russia"
150/035__5 Kopeks_russia.jpg,"1 Kopek,Russian Ruble,russia"
151/004__10 Kopeks_russia.jpg,"10 Kopeks,Russian Ruble,russia"
151/015__10 Kopeks_russia.jpg,"50 Cents,Australian dollar,australia"
151/016__10 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
151/025__10 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/002__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/006__50 Kopeks_russia.jpg,"2 Baht,Thai Baht,thailand"
152/007__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
152/015__50 Kopeks_russia.jpg,"50 Kopeks,Russian Ruble,russia"
153/013__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/025__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/030__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
153/036__1 Ruble_russia.jpg,"1 Ruble,Russian Ruble,russia"
154/005__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/019__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/033__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
154/036__2 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
155/001__5 Rubles_russia.jpg,"100 Rupiah,Indonesian Rupiah,indonesia"
155/005__5 Rubles_russia.jpg,"2 Rubles,Russian Ruble,russia"
155/024__5 Rubles_russia.jpg,"10 Cents,Canadian Dollar,canada"
155/032__5 Rubles_russia.jpg,"5 Rubles,Russian Ruble,russia"
156/001__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/005__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/014__10 Rubles_russia.jpg,"10 Rubles,Russian Ruble,russia"
156/017__10 Rubles_russia.jpg,"1 Grosz,Polish Zloty,poland"
157/011__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/013__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/014__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
157/029__1 Cent_singapore.jpg,"1 Cent,Singapore Dollar,singapore"
158/008__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/023__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/028__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
158/033__5 Cents_singapore.jpg,"5 Cents,Singapore Dollar,singapore"
159/002__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/014__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/017__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
159/036__10 Cents_singapore.jpg,"10 Cents,Singapore Dollar,singapore"
16/001__5 Pence_united_kingdom.jpg,"10 Rappen,Swiss Franc,switzerland"
16/014__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
16/015__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
16/021__5 Pence_united_kingdom.jpg,"5 Pence,British Pound,united_kingdom"
160/001__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/010__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/033__20 Cents_singapore.jpg,"20 Cents,Singapore Dollar,singapore"
160/035__20 Cents_singapore.jpg,"20 Sen,Malaysian Ringgit,malaysia"
161/006__50 Cents_singapore.jpg,"50 Cents,Singapore Dollar,singapore"
